date,end_date,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Bangka Belitung,Kepulauan Riau,Dki Jakarta,Jawa Barat,Jawa Tengah,Daerah Istimewa Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
27-Sep-2020,28-Sep-2020,2,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,5,5,1,2,2,2,5
28-Sep-2020,29-Sep-2020,2,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,2,2,5,5,2,2,2,2,5
29-Sep-2020,30-Sep-2020,3,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,5,5,1,2,2,2,5
30-Sep-2020,1-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,1,2,5
1-Oct-2020,2-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,2,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
2-Oct-2020,3-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,2,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,1,2,5
3-Oct-2020,4-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,2,5,1,2,1,1,5,2,2,1,2,5
4-Oct-2020,5-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,2,2,2,2,5
5-Oct-2020,6-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,2,1,1,5,1,2,1,1,5,2,2,2,2,5
6-Oct-2020,7-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,2,1,1,1,1,1,5,1,1,1,5,5,2,1,1,5,1,2,2,2,5
7-Oct-2020,8-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,2,1,1,5,1,2,1,2,5
8-Oct-2020,9-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,2,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
9-Oct-2020,10-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,2,1,1,1,2,1,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
10-Oct-2020,11-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,2,1,1,1,1,1,5,1,1,1,5,1,2,2,1,5,2,2,2,2,5
11-Oct-2020,12-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,2,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,2,2,2,2,5
12-Oct-2020,13-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,2,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,2,2,2,2,5
